"","age","bid","biden","bipoc","ccHumanCaused","ccNatureCaused","collegeGrad","county","drought","drought3","drought4","DurationSec","educ","EEExposure","EEExposureAll","EEFrequency","EEFrequencyAll","EEIntensity","EEIntensityAll","extremeExperienceYN","fires","heatwaves","hurricanes","hurricanesTropStorms","income","male","nonvoter","noReportDrought","noReportFire","noReportHeatwave","noReportHurricaneTropStorm","noReportTornado","PersonalExpImpact_evacuate","PersonalExpImpact_incomelost","PersonalExpImpact_livingquarterdamage","PersonalExpImpact_livingquarterlost","PersonalExpImpact_nearmiss","PersonalExpImpact_other","PersonalExpImpact_sheltering","PersonalExpImpact_smoke","PersonalExpImpact_total","PersonalExpImpactOE","PersonalExpType_drought","PersonalExpType_flood","PersonalExpType_heat","PersonalExpType_hurricane","PersonalExpType_other","PersonalExpType_tornado","PersonalExpType_total","PersonalExpType_wildfire","PersonalExpTypeOE","Registered_Drought","Registered_EventTypeSum","Registered_Extreme","Registered_Extreme_incldHeatwaves","Registered_Heatwave","Registered_Hurricane","Registered_NoReport_Extreme","Registered_Tornado","Registered_Wildfire","Reported_Drought","Reported_Extreme","Reported_Extreme_exldHeatFlood","Reported_Flood","Reported_Heatwave","Reported_Hurricane","Reported_Other","Reported_Tornado","Reported_Wildfire","ReportedFlood_NoVerified_Extreme","ReportedHeatwave_NoVerified_Extreme","ReportedIntensity_Extreme","state","thirdparty","tornado0","tornado1","tornado2","tornado3","tornado4","tornadoTotal","tropStorms","trump","Verified_Drought","Verified_Extreme","Verified_Extreme_Any","Verified_Heatwave","Verified_Hurricane","Verified_Tornado","Verified_Wildfire","wtp","wtpValue"
"963",7,125,1,1,1,0,1,"Los Angeles County",4.02293917835774,4,51,602,3,11,11,2,2,9,9,1,0,11,0,0,10,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,NA,0,0,0,0,0,0,1,1,NA,1,2,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,2.32790567912796,"CA",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,1,0,0,0,0,0,125
"964",3.95,105,0,1,1,0,1,"Gwinnett County",0.19985847460387,13,0,1316,3,13,13,3,3,10,10,1,0,10,0,0,62.5,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,4,NA,0,0,0,1,0,0,1,0,NA,1,2,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,2.67541605506949,"GA",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,1,0,0,0,0,1,105
"965",2.1,185,0,1,1,0,1,"Hillsborough County",-0.952073089971179,0,0,1061,3,NA,0,NA,0,NA,0,0,0,10,1,1,10,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.799687704345754,"FL",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,1,185
"966",2.95,185,0,1,1,0,0,"Kern County",4.02691783125864,2,53,574,2,NA,0,NA,0,NA,0,0,0,13,0,0,10,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.799687704345754,"CA",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,1,185
"967",2.1,85,0,1,1,0,0,"Los Angeles County",4.02293917835774,4,51,2187,2,5,5,2,2,3,3,1,0,0,0,0,10,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,0,0,0,1,0,0,1,0,NA,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0.242843423478819,"CA",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,1,0,0,0,0,1,85
"968",2.95,265,1,1,1,0,1,"Queens County",-0.952073089971179,0,0,531,3,14,14,4,4,10,10,1,0,0,0,0,62.5,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,NA,0,1,1,1,0,0,3,0,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,2.67541605506949,"NY",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,1,265
"969",3.95,85,0,1,1,0,0,"San Diego County",3.9214835293848,55,0,546,2,NA,0,NA,0,NA,0,0,0,11,0,0,37.5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.799687704345754,"CA",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,1,85
"970",4.95,45,1,1,1,0,1,"San Diego County",3.9214835293848,55,0,738,3,10,10,4,4,6,6,1,0,5,0,0,125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,1,0,NA,1,2,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1.28537455130339,"CA",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,1,1,0,0,0,1,45
"971",7,225,1,0,1,0,0,"Chittenden County",-0.952073089971179,0,0,1060,2,NA,0,NA,0,NA,0,0,0,8,1,1,37.5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.799687704345754,"VT",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,1,225
"972",4.95,265,0,1,1,0,1,"Butte County",1.64348164409055,16,13,1168,3,9,9,1,1,8,8,1,5,13,0,0,37.5,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,3,NA,0,0,0,0,0,0,1,1,NA,1,3,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1.98039530318644,"CA",0,0,0,0,0,0,-0.809391123281774,0,0,0,1,1,0,0,0,1,1,265
"973",2.1,125,0,1,1,0,1,"Queens County",-0.952073089971179,0,0,462,3,NA,0,NA,0,NA,0,0,0,0,0,0,17.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.799687704345754,"NY",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,0,125
"974",3.95,185,1,1,1,0,1,"Marion County",-0.952073089971179,0,0,1088,3,8,8,3,3,5,5,1,0,12,1,1,17.5,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,2,NA,0,0,0,1,0,0,1,0,NA,0,3,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0.937864175361868,"FL",0,0,1,0,0,0,0.984187200542961,0,0,0,1,1,0,1,0,0,1,185
"975",2.1,185,0,0,0,0,0,"Butte County",1.64348164409055,16,13,326,2,NA,0,NA,0,NA,0,0,5,13,0,0,17.5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,1,3,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.799687704345754,"CA",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,1,185
"976",2.1,65,0,1,1,0,1,"Miami-Dade County",-0.952073089971179,0,0,19032,3,8,8,3,3,5,5,1,0,9,1,1,17.5,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,3,NA,0,1,0,1,0,0,2,0,NA,0,3,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0.937864175361868,"FL",0,1,0,0,0,0,2.07068133037738,0,1,0,1,1,0,1,0,0,1,65
"977",2.1,125,1,1,0,1,0,"Tuscaloosa County",0.648877055714853,15,3,4226,2,6,6,1,1,5,5,1,0,8,1,1,87.5,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,NA,0,0,0,1,0,0,1,0,NA,1,3,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0.937864175361868,"AL",0,0,0,0,0,0,-0.809391123281774,0,0,0,1,1,0,1,0,0,1,125
"978",2.1,25,1,1,1,0,0,"Polk County",-0.686242728915399,3,0,794,2,2,2,1,1,1,1,1,4,12,1,1,17.5,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,2,NA,0,0,0,1,0,0,1,0,NA,1,4,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,-0.452177328404229,"FL",0,0,0,0,0,0,-0.809391123281774,0,0,0,1,1,0,1,0,0,0,25
